Instrument,Last,Mean,Stdev,Z-Score
3M5Y-6M5Y-15Y5Y,14.6,5.86,25.8133,0.3386
3M5Y-6M5Y-20Y5Y,107.6,66.088,30.82,1.3469
3M5Y-6M5Y-30Y5Y,158.5,133.63,20.2033,1.231
3M5Y-1Y5Y-2Y5Y,-12.4,-18.004,4.6443,1.2066
3M5Y-1Y5Y-3Y5Y,-4.5,-18.194,9.3653,1.4622
3M5Y-1Y5Y-4Y5Y,-3.4,-21.91,12.8612,1.4392
3M5Y-1Y5Y-5Y5Y,-5.9,-26.901,14.8641,1.4129
3M5Y-1Y5Y-7Y5Y,-12.1,-37.484,18.2052,1.3943
3M5Y-1Y5Y-10Y5Y,-17.8,-46.745,20.6288,1.4031
3M5Y-1Y5Y-15Y5Y,-30.8,-31.352,21.9407,0.0252
3M5Y-1Y5Y-20Y5Y,62.2,28.876,25.4502,1.3094
3M5Y-1Y5Y-30Y5Y,113.1,96.418,14.8894,1.1204
3M5Y-2Y5Y-3Y5Y,-49.7,-42.616,7.4428,-0.9518
3M5Y-2Y5Y-4Y5Y,-48.6,-46.332,5.9611,-0.3805
3M5Y-2Y5Y-5Y5Y,-51.1,-51.323,5.9466,0.0375
3M5Y-2Y5Y-7Y5Y,-57.3,-61.906,6.7657,0.6808
3M5Y-2Y5Y-10Y5Y,-63.0,-71.167,8.5774,0.9522
3M5Y-2Y5Y-15Y5Y,-76.0,-55.774,15.9591,-1.2674
3M5Y-2Y5Y-20Y5Y,17.0,4.454,13.349,0.9398
3M5Y-2Y5Y-30Y5Y,67.9,71.996,7.764,-0.5276
3M5Y-3Y5Y-4Y5Y,-64.4,-45.952,12.8885,-1.4314
3M5Y-3Y5Y-5Y5Y,-66.9,-50.943,11.2859,-1.4139
3M5Y-3Y5Y-7Y5Y,-73.1,-61.526,8.9029,-1.3
3M5Y-3Y5Y-10Y5Y,-78.8,-70.787,8.2717,-0.9687
3M5Y-3Y5Y-15Y5Y,-91.8,-55.394,17.6572,-2.0618
3M5Y-3Y5Y-20Y5Y,1.2,4.834,9.0588,-0.4012
3M5Y-3Y5Y-30Y5Y,52.1,72.376,13.1997,-1.5361
3M5Y-4Y5Y-5Y5Y,-69.1,-43.511,17.3525,-1.4747
3M5Y-4Y5Y-7Y5Y,-75.3,-54.094,14.4767,-1.4648
3M5Y-4Y5Y-10Y5Y,-81.0,-63.355,13.1034,-1.3466
3M5Y-4Y5Y-15Y5Y,-94.0,-47.962,21.0197,-2.1902
3M5Y-4Y5Y-20Y5Y,-1.0,12.266,10.7982,-1.2285
3M5Y-4Y5Y-30Y5Y,49.9,79.808,18.9776,-1.576
3M5Y-5Y5Y-7Y5Y,-70.3,-44.112,18.0843,-1.4481
3M5Y-5Y5Y-10Y5Y,-76.0,-53.373,16.5523,-1.367
3M5Y-5Y5Y-15Y5Y,-89.0,-37.98,23.6205,-2.16
3M5Y-5Y5Y-20Y5Y,4.0,22.248,13.4807,-1.3536
3M5Y-5Y5Y-30Y5Y,54.9,89.79,22.5754,-1.5455
3M5Y-7Y5Y-10Y5Y,-63.6,-32.207,22.4228,-1.4001
3M5Y-7Y5Y-15Y5Y,-76.6,-16.814,29.1169,-2.0533
3M5Y-7Y5Y-20Y5Y,16.4,43.414,18.8035,-1.4367
3M5Y-7Y5Y-30Y5Y,67.3,110.956,28.6942,-1.5214
3M5Y-10Y5Y-15Y5Y,-65.2,1.708,33.5363,-1.9951
3M5Y-10Y5Y-20Y5Y,27.8,61.936,23.0345,-1.482
3M5Y-10Y5Y-30Y5Y,78.7,129.478,33.1586,-1.5314
3M5Y-15Y5Y-20Y5Y,53.8,31.15,27.0948,0.836
3M5Y-15Y5Y-30Y5Y,104.7,98.692,34.2088,0.1756
3M5Y-20Y5Y-30Y5Y,-81.3,-21.764,41.9739,-1.4184
